[09-Sep-25 21:02:09 - INFO] - sendbot.modules - Successfully imported all sendbot.modules.
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:45 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:17:46 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:19:04 - INFO] - sendbot.modules - Successfully imported all sendbot.modules.
[09-Sep-25 21:25:04 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:25:05 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 21:25:25 - INFO] - sendbot.modules - Successfully imported all sendbot.modules.
[09-Sep-25 22:04:23 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 22:07:38 - INFO] - sendbot.modules - Successfully imported all sendbot.modules.
[09-Sep-25 22:07:44 - ERROR] - pyrogram.dispatcher - 'Database' object has no attribute 'get_admin_state'
Traceback (most recent call last):
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\dispatcher.py", line 363, in handler_worker
    await handler.callback(self.client, *args)
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\handlers\message_handler.py", line 154, in resolve_future_or_callback
    await self.original_callback(client, message, *args)
  File "C:\Users\psasw\OneDrive\Desktop\golang\openbot\sendbot\modules\sudo.py", line 10, in admin_message_handler
    admin_state = await mdb.get_admin_state(message.from_user.id)
                        ^^^^^^^^^^^^^^^^^^^
AttributeError: 'Database' object has no attribute 'get_admin_state'
[09-Sep-25 22:07:45 - ERROR] - pyrogram.dispatcher - 'Database' object has no attribute 'get_admin_state'
Traceback (most recent call last):
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\dispatcher.py", line 363, in handler_worker
    await handler.callback(self.client, *args)
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\handlers\message_handler.py", line 154, in resolve_future_or_callback
    await self.original_callback(client, message, *args)
  File "C:\Users\psasw\OneDrive\Desktop\golang\openbot\sendbot\modules\sudo.py", line 10, in admin_message_handler
    admin_state = await mdb.get_admin_state(message.from_user.id)
                        ^^^^^^^^^^^^^^^^^^^
AttributeError: 'Database' object has no attribute 'get_admin_state'
[09-Sep-25 22:07:50 - ERROR] - pyrogram.dispatcher - 'Database' object has no attribute 'get_admin_state'
Traceback (most recent call last):
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\dispatcher.py", line 363, in handler_worker
    await handler.callback(self.client, *args)
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\handlers\message_handler.py", line 154, in resolve_future_or_callback
    await self.original_callback(client, message, *args)
  File "C:\Users\psasw\OneDrive\Desktop\golang\openbot\sendbot\modules\sudo.py", line 10, in admin_message_handler
    admin_state = await mdb.get_admin_state(message.from_user.id)
                        ^^^^^^^^^^^^^^^^^^^
AttributeError: 'Database' object has no attribute 'get_admin_state'
[09-Sep-25 22:07:51 - ERROR] - pyrogram.dispatcher - 'Database' object has no attribute 'get_admin_state'
Traceback (most recent call last):
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\dispatcher.py", line 363, in handler_worker
    await handler.callback(self.client, *args)
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\handlers\message_handler.py", line 154, in resolve_future_or_callback
    await self.original_callback(client, message, *args)
  File "C:\Users\psasw\OneDrive\Desktop\golang\openbot\sendbot\modules\sudo.py", line 10, in admin_message_handler
    admin_state = await mdb.get_admin_state(message.from_user.id)
                        ^^^^^^^^^^^^^^^^^^^
AttributeError: 'Database' object has no attribute 'get_admin_state'
[09-Sep-25 22:07:52 - ERROR] - pyrogram.dispatcher - 'Database' object has no attribute 'get_admin_state'
Traceback (most recent call last):
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\dispatcher.py", line 363, in handler_worker
    await handler.callback(self.client, *args)
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\handlers\message_handler.py", line 154, in resolve_future_or_callback
    await self.original_callback(client, message, *args)
  File "C:\Users\psasw\OneDrive\Desktop\golang\openbot\sendbot\modules\sudo.py", line 10, in admin_message_handler
    admin_state = await mdb.get_admin_state(message.from_user.id)
                        ^^^^^^^^^^^^^^^^^^^
AttributeError: 'Database' object has no attribute 'get_admin_state'
[09-Sep-25 22:07:53 - ERROR] - pyrogram.dispatcher - 'Database' object has no attribute 'get_admin_state'
Traceback (most recent call last):
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\dispatcher.py", line 363, in handler_worker
    await handler.callback(self.client, *args)
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\handlers\message_handler.py", line 154, in resolve_future_or_callback
    await self.original_callback(client, message, *args)
  File "C:\Users\psasw\OneDrive\Desktop\golang\openbot\sendbot\modules\sudo.py", line 10, in admin_message_handler
    admin_state = await mdb.get_admin_state(message.from_user.id)
                        ^^^^^^^^^^^^^^^^^^^
AttributeError: 'Database' object has no attribute 'get_admin_state'
[09-Sep-25 22:07:53 - ERROR] - pyrogram.dispatcher - 'Database' object has no attribute 'get_admin_state'
Traceback (most recent call last):
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\dispatcher.py", line 363, in handler_worker
    await handler.callback(self.client, *args)
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\handlers\message_handler.py", line 154, in resolve_future_or_callback
    await self.original_callback(client, message, *args)
  File "C:\Users\psasw\OneDrive\Desktop\golang\openbot\sendbot\modules\sudo.py", line 10, in admin_message_handler
    admin_state = await mdb.get_admin_state(message.from_user.id)
                        ^^^^^^^^^^^^^^^^^^^
AttributeError: 'Database' object has no attribute 'get_admin_state'
[09-Sep-25 22:07:53 - ERROR] - pyrogram.dispatcher - 'Database' object has no attribute 'get_admin_state'
Traceback (most recent call last):
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\dispatcher.py", line 363, in handler_worker
    await handler.callback(self.client, *args)
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\handlers\message_handler.py", line 154, in resolve_future_or_callback
    await self.original_callback(client, message, *args)
  File "C:\Users\psasw\OneDrive\Desktop\golang\openbot\sendbot\modules\sudo.py", line 10, in admin_message_handler
    admin_state = await mdb.get_admin_state(message.from_user.id)
                        ^^^^^^^^^^^^^^^^^^^
AttributeError: 'Database' object has no attribute 'get_admin_state'
[09-Sep-25 22:07:56 - ERROR] - pyrogram.dispatcher - 'Database' object has no attribute 'get_admin_state'
Traceback (most recent call last):
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\dispatcher.py", line 363, in handler_worker
    await handler.callback(self.client, *args)
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\handlers\message_handler.py", line 154, in resolve_future_or_callback
    await self.original_callback(client, message, *args)
  File "C:\Users\psasw\OneDrive\Desktop\golang\openbot\sendbot\modules\sudo.py", line 10, in admin_message_handler
    admin_state = await mdb.get_admin_state(message.from_user.id)
                        ^^^^^^^^^^^^^^^^^^^
AttributeError: 'Database' object has no attribute 'get_admin_state'
[09-Sep-25 22:08:01 - ERROR] - pyrogram.dispatcher - 'Database' object has no attribute 'get_admin_state'
Traceback (most recent call last):
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\dispatcher.py", line 363, in handler_worker
    await handler.callback(self.client, *args)
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\handlers\message_handler.py", line 154, in resolve_future_or_callback
    await self.original_callback(client, message, *args)
  File "C:\Users\psasw\OneDrive\Desktop\golang\openbot\sendbot\modules\sudo.py", line 10, in admin_message_handler
    admin_state = await mdb.get_admin_state(message.from_user.id)
                        ^^^^^^^^^^^^^^^^^^^
AttributeError: 'Database' object has no attribute 'get_admin_state'
[09-Sep-25 22:08:04 - ERROR] - pyrogram.dispatcher - 'Database' object has no attribute 'get_admin_state'
Traceback (most recent call last):
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\dispatcher.py", line 363, in handler_worker
    await handler.callback(self.client, *args)
  File "C:\Users\psasw\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pyrogram\handlers\message_handler.py", line 154, in resolve_future_or_callback
    await self.original_callback(client, message, *args)
  File "C:\Users\psasw\OneDrive\Desktop\golang\openbot\sendbot\modules\sudo.py", line 10, in admin_message_handler
    admin_state = await mdb.get_admin_state(message.from_user.id)
                        ^^^^^^^^^^^^^^^^^^^
AttributeError: 'Database' object has no attribute 'get_admin_state'
[09-Sep-25 22:14:37 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 22:14:59 - INFO] - sendbot.modules - Successfully imported all sendbot.modules.
[09-Sep-25 22:16:10 - INFO] - root - Stop signal received (SIGINT). Exiting...
[09-Sep-25 22:16:37 - INFO] - sendbot.modules - Successfully imported all sendbot.modules.
